Vp,Bulk,MS,Porosity,Resistivity,Species
4008.78,2.44,814,13,0.55,CorAlg
4025.17,2.46,804.4,11,0.56,CorAlg
3978.87,2.43,788.7,14,0.62,CorAlg
3981.36,2.49,756.2,10,0.65,CorAlg
3948.28,2.44,713.1,13,0.64,CorAlg
4015.64,2.43,668.7,13,0.6,CorAlg
4042.79,2.48,634.9,11,0.57,CorAlg
4059.34,2.48,609.8,10,0.58,CorAlg
4049.72,2.36,596.5,18,0.61,CorAlg
3820.07,2.18,576.3,29,0.63,CorAlg
3752.04,2.4,554.8,15,0.63,CorAlg
4020.01,2.47,540.1,11,0.59,CorAlg
4109.34,2.49,526.3,10,0.59,CorAlg
4069.67,2.37,520.5,17,0.64,CorAlg
3969.12,2.47,552,11,0.65,CorAlg
4069.03,2.39,605.8,16,0.62,CorAlg
4056.19,2.46,646,12,0.56,CorAlg
4018.76,2.46,659.2,12,0.56,CorAlg
4108.7,2.49,651.1,10,0.57,CorAlg
4018.76,2.38,627,17,0.59,CorAlg
4056.82,2.53,592.2,8,0.61,CorAlg
4286.86,2.54,535.9,7,0.66,CorAlg
3804.62,2.38,718.1,17,0.64,CorAlg
3817.1,2.49,728.8,10,0.66,CorAlg
3790.87,2.36,610.4,18,0.7,CorAlg
3754.59,2.34,742.5,19,0.67,CorAlg
3745.57,2.34,865.8,19,0.67,CorAlg
3754.59,2.39,923.5,16,0.69,CorAlg
3816.22,2.35,867.7,19,0.7,CorAlg
3798.72,2.38,777.1,16,0.7,CorAlg
3849.47,2.38,721,17,0.66,CorAlg
4004.31,2.43,711.8,14,0.62,CorAlg
4012.97,2.44,716.2,13,0.58,CorAlg
3907.5,2.42,1359,14,0.6,CorAlg
3900.24,2.33,1366.2,20,0.61,CorAlg
3899.94,2.42,1351.5,14,0.61,CorAlg
3982.03,2.46,1318.4,11,0.61,CorAlg
4016.26,2.45,1291.8,12,0.6,CorAlg
4002.49,2.45,1237.8,12,0.61,CorAlg
4091.78,2.47,1134.4,11,0.61,CorAlg
4070.93,2.45,1019.3,13,0.6,CorAlg
4000,2.47,940.4,11,0.6,CorAlg
4013.72,2.42,912.9,14,0.6,CorAlg
4107.07,2.43,927.1,14,0.6,CorAlg
4035.65,2.43,957.8,14,0.6,CorAlg
3905.68,2.28,999.8,23,0.59,CorAlg
3850.51,2.37,1052.3,17,0.58,CorAlg
3855.27,2.36,1103.7,18,0.55,CorAlg
3824.09,2.39,1153,16,0.54,CorAlg
3759.86,2.29,1185,22,0.54,CorAlg
3755.93,2.27,1174.9,24,0.55,CorAlg
3789.38,2.3,1126.9,22,0.58,CorAlg
3903.25,2.32,1055.4,20,0.58,CorAlg
3811.62,2.28,1021.7,23,0.56,CorAlg
3962.78,2.4,1087.9,16,0.55,CorAlg
4000.62,2.45,1222.1,12,0.56,CorAlg
3965.22,2.4,1322.9,15,0.56,CorAlg
3895.75,2.39,1360,16,0.57,CorAlg
3817.49,2.37,1383.5,17,0.57,CorAlg
3912.26,2.42,1439.9,14,0.56,CorAlg
3938.33,2.4,1484.4,15,0.57,CorAlg
3880.29,2.25,1508.9,24,0.58,CorAlg
3813.34,2.39,1481.2,16,0.58,CorAlg
3990.21,2.43,1438.1,13,0.56,CorAlg
4001.23,2.42,1411.7,14,0.55,CorAlg
3870.55,2.32,1373.1,20,0.55,CorAlg
3938.52,2.45,1117,12,0.56,CorAlg
3767.59,2.39,1265.1,16,0.59,CorAlg
